[0.007s][info][gc] Using Parallel
[13,444s][info][gc] GC(66) Pause Young (Allocation Failure) 1033M->550M(1956M) 40,235ms
[13,627s][info][gc] GC(67) Pause Young (Allocation Failure) 1041M->554M(1964M) 40,618ms
[13,814s][info][gc] GC(68) Pause Young (Allocation Failure) 1049M->559M(1955M) 41,274ms
[14,002s][info][gc] GC(69) Pause Young (Allocation Failure) 1057M->563M(1963M) 41,319ms
[14,199s][info][gc] GC(70) Pause Young (Allocation Failure) 1065M->567M(1954M) 40,840ms
[14,390s][info][gc] GC(71) Pause Young (Allocation Failure) 1073M->572M(1962M) 41,055ms
[14,583s][info][gc] GC(72) Pause Young (Allocation Failure) 1081M->576M(1953M) 41,167ms
[14,752s][info][gc] GC(73) Pause Young (Allocation Failure) 1017M->580M(1962M) 41,365ms
[14,923s][info][gc] GC(74) Pause Young (Allocation Failure) 1023M->583M(1953M) 41,628ms
[15,109s][info][gc] GC(75) Pause Young (Allocation Failure) 1030M->587M(1961M) 42,608ms
[15,307s][info][gc] GC(76) Pause Young (Allocation Failure) 1036M->591M(1961M) 41,758ms
[15,483s][info][gc] GC(77) Pause Young (Allocation Failure) 1042M->594M(1960M) 41,885ms
[15,656s][info][gc] GC(78) Pause Young (Allocation Failure) 1049M->598M(1952M) 41,815ms
[15,831s][info][gc] GC(79) Pause Young (Allocation Failure) 1055M->602M(1960M) 42,660ms
[16,012s][info][gc] GC(80) Pause Young (Allocation Failure) 1062M->605M(1952M) 42,536ms
[16,202s][info][gc] GC(81) Pause Young (Allocation Failure) 1068M->609M(1959M) 42,784ms
[16,383s][info][gc] GC(82) Pause Young (Allocation Failure) 1074M->613M(1950M) 43,128ms
[16,565s][info][gc] GC(83) Pause Young (Allocation Failure) 1081M->616M(1959M) 44,380ms
[16,755s][info][gc] GC(84) Pause Young (Allocation Failure) 1087M->620M(1950M) 44,371ms
[16,939s][info][gc] GC(85) Pause Young (Allocation Failure) 1094M->624M(1957M) 43,617ms
[17,152s][info][gc] GC(86) Pause Young (Allocation Failure) 1100M->627M(1949M) 51,160ms
[17,340s][info][gc] GC(87) Pause Young (Allocation Failure) 1106M->631M(1957M) 44,055ms
[17,524s][info][gc] GC(88) Pause Young (Allocation Failure) 1113M->635M(1949M) 43,674ms
[17,709s][info][gc] GC(89) Pause Young (Allocation Failure) 1119M->638M(1956M) 44,541ms
[17,897s][info][gc] GC(90) Pause Young (Allocation Failure) 1126M->642M(1948M) 44,937ms
[18,099s][info][gc] GC(91) Pause Young (Allocation Failure) 1132M->646M(1955M) 45,451ms
[18,290s][info][gc] GC(92) Pause Young (Allocation Failure) 1138M->649M(1947M) 46,646ms
[18,481s][info][gc] GC(93) Pause Young (Allocation Failure) 1145M->653M(1954M) 45,550ms
[18,646s][info][gc] GC(94) Pause Young (Allocation Failure) 1070M->656M(1954M) 45,938ms
[18,814s][info][gc] GC(95) Pause Young (Allocation Failure) 1075M->659M(1954M) 45,070ms
[18,983s][info][gc] GC(96) Pause Young (Allocation Failure) 1080M->662M(1946M) 45,136ms
[19,163s][info][gc] GC(97) Pause Young (Allocation Failure) 1085M->665M(1954M) 45,372ms
[19,341s][info][gc] GC(98) Pause Young (Allocation Failure) 1090M->668M(1946M) 51,232ms
[19,513s][info][gc] GC(99) Pause Young (Allocation Failure) 1094M->672M(1953M) 45,979ms
[19,683s][info][gc] GC(100) Pause Young (Allocation Failure) 1099M->675M(1946M) 46,043ms
[19,855s][info][gc] GC(101) Pause Young (Allocation Failure) 1104M->678M(1953M) 46,866ms
[20,028s][info][gc] GC(102) Pause Young (Allocation Failure) 1109M->681M(1945M) 47,640ms
[20,237s][info][gc] GC(103) Pause Young (Allocation Failure) 1115M->684M(1951M) 49,146ms
[20,424s][info][gc] GC(104) Pause Young (Allocation Failure) 1119M->687M(1952M) 46,958ms
[20,599s][info][gc] GC(105) Pause Young (Allocation Failure) 1124M->690M(1951M) 47,233ms
[20,778s][info][gc] GC(106) Pause Young (Allocation Failure) 1129M->693M(1951M) 48,765ms
[20,955s][info][gc] GC(107) Pause Young (Allocation Failure) 1134M->696M(1950M) 47,452ms
[21,141s][info][gc] GC(108) Pause Young (Allocation Failure) 1139M->699M(1944M) 47,793ms
[21,321s][info][gc] GC(109) Pause Young (Allocation Failure) 1144M->702M(1950M) 47,617ms
[21,502s][info][gc] GC(110) Pause Young (Allocation Failure) 1149M->705M(1943M) 48,641ms
[21,681s][info][gc] GC(111) Pause Young (Allocation Failure) 1154M->708M(1949M) 48,540ms
[21,859s][info][gc] GC(112) Pause Young (Allocation Failure) 1159M->711M(1949M) 48,788ms
[22,040s][info][gc] GC(113) Pause Young (Allocation Failure) 1164M->714M(1948M) 48,628ms
[22,236s][info][gc] GC(114) Pause Young (Allocation Failure) 1169M->717M(1942M) 48,389ms
[22,420s][info][gc] GC(115) Pause Young (Allocation Failure) 1174M->721M(1948M) 48,960ms
[22,602s][info][gc] GC(116) Pause Young (Allocation Failure) 1179M->724M(1942M) 48,776ms
[22,784s][info][gc] GC(117) Pause Young (Allocation Failure) 1184M->727M(1947M) 48,878ms
[22,970s][info][gc] GC(118) Pause Young (Allocation Failure) 1189M->730M(1940M) 49,889ms
[23,167s][info][gc] GC(119) Pause Young (Allocation Failure) 1194M->733M(1947M) 49,455ms
[23,354s][info][gc] GC(120) Pause Young (Allocation Failure) 1199M->736M(1940M) 49,704ms
[23,543s][info][gc] GC(121) Pause Young (Allocation Failure) 1204M->739M(1945M) 52,869ms
[23,732s][info][gc] GC(122) Pause Young (Allocation Failure) 1209M->742M(1939M) 50,491ms
[23,919s][info][gc] GC(123) Pause Young (Allocation Failure) 1214M->745M(1945M) 50,466ms
[24,119s][info][gc] GC(124) Pause Young (Allocation Failure) 1219M->748M(1939M) 50,355ms
[24,318s][info][gc] GC(125) Pause Young (Allocation Failure) 1224M->751M(1944M) 58,859ms
[24,480s][info][gc] GC(126) Pause Young (Allocation Failure) 1135M->754M(1944M) 51,557ms
[24,642s][info][gc] GC(127) Pause Young (Allocation Failure) 1139M->756M(1944M) 50,899ms
[24,805s][info][gc] GC(128) Pause Young (Allocation Failure) 1142M->759M(1937M) 50,780ms
[24,971s][info][gc] GC(129) Pause Young (Allocation Failure) 1146M->761M(1944M) 50,935ms
[25,148s][info][gc] GC(130) Pause Young (Allocation Failure) 1150M->764M(1944M) 50,653ms
[25,312s][info][gc] GC(131) Pause Young (Allocation Failure) 1153M->766M(1943M) 50,965ms
[25,475s][info][gc] GC(132) Pause Young (Allocation Failure) 1157M->768M(1943M) 50,943ms
[25,641s][info][gc] GC(133) Pause Young (Allocation Failure) 1160M->771M(1942M) 52,733ms
[25,808s][info][gc] GC(134) Pause Young (Allocation Failure) 1164M->773M(1943M) 50,943ms
[25,973s][info][gc] GC(135) Pause Young (Allocation Failure) 1168M->776M(1943M) 51,050ms
[26,149s][info][gc] GC(136) Pause Young (Allocation Failure) 1172M->778M(1937M) 51,152ms
[26,318s][info][gc] GC(137) Pause Young (Allocation Failure) 1175M->781M(1942M) 54,205ms
[26,488s][info][gc] GC(138) Pause Young (Allocation Failure) 1179M->783M(1937M) 52,720ms
[26,656s][info][gc] GC(139) Pause Young (Allocation Failure) 1183M->786M(1942M) 52,188ms
[26,823s][info][gc] GC(140) Pause Young (Allocation Failure) 1186M->788M(1936M) 52,280ms
[26,992s][info][gc] GC(141) Pause Young (Allocation Failure) 1190M->791M(1941M) 52,237ms
[27,176s][info][gc] GC(142) Pause Young (Allocation Failure) 1194M->793M(1936M) 52,413ms
[27,346s][info][gc] GC(143) Pause Young (Allocation Failure) 1197M->796M(1941M) 52,589ms
[27,516s][info][gc] GC(144) Pause Young (Allocation Failure) 1201M->798M(1935M) 53,094ms
[27,686s][info][gc] GC(145) Pause Young (Allocation Failure) 1205M->800M(1939M) 53,211ms
[27,860s][info][gc] GC(146) Pause Young (Allocation Failure) 1208M->803M(1940M) 53,830ms
[28,032s][info][gc] GC(147) Pause Young (Allocation Failure) 1212M->805M(1939M) 53,467ms
[28,213s][info][gc] GC(148) Pause Young (Allocation Failure) 1216M->808M(1939M) 53,284ms
[28,392s][info][gc] GC(149) Pause Young (Allocation Failure) 1219M->810M(1938M) 53,264ms
[28,568s][info][gc] GC(150) Pause Young (Allocation Failure) 1223M->813M(1939M) 53,961ms
[28,741s][info][gc] GC(151) Pause Young (Allocation Failure) 1227M->815M(1938M) 53,438ms
[28,916s][info][gc] GC(152) Pause Young (Allocation Failure) 1230M->818M(1938M) 54,058ms
[29,104s][info][gc] GC(153) Pause Young (Allocation Failure) 1234M->820M(1937M) 55,518ms
[29,281s][info][gc] GC(154) Pause Young (Allocation Failure) 1238M->823M(1932M) 54,108ms
[29,457s][info][gc] GC(155) Pause Young (Allocation Failure) 1241M->825M(1937M) 55,129ms
[29,632s][info][gc] GC(156) Pause Young (Allocation Failure) 1245M->828M(1932M) 54,302ms
[29,809s][info][gc] GC(157) Pause Young (Allocation Failure) 1249M->830M(1937M) 54,645ms
[29,990s][info][gc] GC(158) Pause Young (Allocation Failure) 1252M->832M(1932M) 56,087ms
[30,183s][info][gc] GC(159) Pause Young (Allocation Failure) 1256M->835M(1935M) 55,550ms
[30,361s][info][gc] GC(160) Pause Young (Allocation Failure) 1260M->837M(1936M) 54,951ms
[30,542s][info][gc] GC(161) Pause Young (Allocation Failure) 1263M->840M(1935M) 57,116ms
[30,723s][info][gc] GC(162) Pause Young (Allocation Failure) 1267M->842M(1935M) 55,643ms
[30,902s][info][gc] GC(163) Pause Young (Allocation Failure) 1271M->845M(1934M) 55,581ms
[31,090s][info][gc] GC(164) Pause Young (Allocation Failure) 1274M->847M(1930M) 58,871ms
[31,293s][info][gc] GC(165) Pause Young (Allocation Failure) 1278M->850M(1934M) 74,148ms
[31,475s][info][gc] GC(166) Pause Young (Allocation Failure) 1282M->852M(1929M) 56,259ms
[31,657s][info][gc] GC(167) Pause Young (Allocation Failure) 1285M->855M(1934M) 56,145ms
[31,839s][info][gc] GC(168) Pause Young (Allocation Failure) 1289M->857M(1929M) 56,615ms
[32,039s][info][gc] GC(169) Pause Young (Allocation Failure) 1293M->860M(1932M) 57,783ms
[32,234s][info][gc] GC(170) Pause Young (Allocation Failure) 1296M->862M(1933M) 57,226ms
[32,421s][info][gc] GC(171) Pause Young (Allocation Failure) 1300M->864M(1932M) 56,762ms
[32,607s][info][gc] GC(172) Pause Young (Allocation Failure) 1304M->867M(1932M) 56,992ms
[32,794s][info][gc] GC(173) Pause Young (Allocation Failure) 1307M->869M(1931M) 57,594ms
[32,980s][info][gc] GC(174) Pause Young (Allocation Failure) 1311M->872M(1927M) 56,896ms
[33,181s][info][gc] GC(175) Pause Young (Allocation Failure) 1315M->874M(1931M) 57,609ms
[33,370s][info][gc] GC(176) Pause Young (Allocation Failure) 1318M->877M(1926M) 60,009ms
[33,558s][info][gc] GC(177) Pause Young (Allocation Failure) 1322M->879M(1931M) 58,349ms
[33,746s][info][gc] GC(178) Pause Young (Allocation Failure) 1326M->882M(1926M) 58,113ms
[33,934s][info][gc] GC(179) Pause Young (Allocation Failure) 1329M->884M(1929M) 58,296ms
[34,100s][info][gc] GC(180) Pause Young (Allocation Failure) 1223M->886M(1930M) 60,792ms
[34,264s][info][gc] GC(181) Pause Young (Allocation Failure) 1226M->888M(1930M) 57,022ms
[34,419s][info][gc] GC(182) Pause Young (Allocation Failure) 1228M->890M(1930M) 57,453ms
[34,577s][info][gc] GC(183) Pause Young (Allocation Failure) 1230M->892M(1930M) 58,075ms
[34,733s][info][gc] GC(184) Pause Young (Allocation Failure) 1233M->893M(1925M) 57,968ms
[34,891s][info][gc] GC(185) Pause Young (Allocation Failure) 1236M->895M(1929M) 57,864ms
[35,048s][info][gc] GC(186) Pause Young (Allocation Failure) 1238M->897M(1929M) 58,394ms
[35,216s][info][gc] GC(187) Pause Young (Allocation Failure) 1241M->899M(1929M) 58,192ms
[35,376s][info][gc] GC(188) Pause Young (Allocation Failure) 1243M->901M(1925M) 58,556ms
[35,537s][info][gc] GC(189) Pause Young (Allocation Failure) 1246M->903M(1929M) 59,665ms
[35,695s][info][gc] GC(190) Pause Young (Allocation Failure) 1248M->904M(1929M) 58,745ms
[35,853s][info][gc] GC(191) Pause Young (Allocation Failure) 1251M->906M(1928M) 58,786ms
[36,014s][info][gc] GC(192) Pause Young (Allocation Failure) 1253M->908M(1928M) 58,893ms
[36,190s][info][gc] GC(193) Pause Young (Allocation Failure) 1256M->910M(1928M) 61,169ms
[36,360s][info][gc] GC(194) Pause Young (Allocation Failure) 1258M->912M(1924M) 59,169ms
[36,520s][info][gc] GC(195) Pause Young (Allocation Failure) 1261M->914M(1928M) 59,620ms
[36,680s][info][gc] GC(196) Pause Young (Allocation Failure) 1263M->916M(1928M) 59,079ms
[36,839s][info][gc] GC(197) Pause Young (Allocation Failure) 1266M->917M(1927M) 59,340ms
[37,002s][info][gc] GC(198) Pause Young (Allocation Failure) 1268M->919M(1927M) 59,532ms
[37,174s][info][gc] GC(199) Pause Young (Allocation Failure) 1271M->921M(1926M) 59,420ms
[37,336s][info][gc] GC(200) Pause Young (Allocation Failure) 1273M->923M(1927M) 59,662ms
[37,497s][info][gc] GC(201) Pause Young (Allocation Failure) 1276M->925M(1927M) 59,552ms
