[0.004s][info][gc] Using Serial
[16,366s][info][gc] GC(65) Pause Young (Allocation Failure) 1345M->915M(1979M) 81,324ms
[16,661s][info][gc] GC(66) Pause Young (Allocation Failure) 1424M->990M(1979M) 86,903ms
[16,934s][info][gc] GC(67) Pause Young (Allocation Failure) 1503M->1065M(1979M) 95,350ms
[17,215s][info][gc] GC(68) Pause Young (Allocation Failure) 1582M->1142M(1979M) 103,251ms
[17,506s][info][gc] GC(69) Pause Young (Allocation Failure) 1662M->1218M(1979M) 109,680ms
[17,820s][info][gc] GC(70) Pause Young (Allocation Failure) 1743M->1296M(1979M) 117,756ms
[18,611s][info][gc] GC(72) Pause Full (Allocation Failure) 1824M->662M(1979M) 600,075ms
[18,611s][info][gc] GC(71) Pause Young (Allocation Failure) 1824M->662M(1979M) 600,133ms
[18,847s][info][gc] GC(73) Pause Young (Allocation Failure) 1194M->740M(1979M) 36,903ms
[19,074s][info][gc] GC(74) Pause Young (Allocation Failure) 1276M->819M(1979M) 44,703ms
[19,306s][info][gc] GC(75) Pause Young (Allocation Failure) 1358M->899M(1979M) 46,903ms
[19,558s][info][gc] GC(76) Pause Young (Allocation Failure) 1442M->979M(1979M) 56,650ms
[19,778s][info][gc] GC(77) Pause Young (Allocation Failure) 1448M->1058M(1979M) 52,856ms
[20,008s][info][gc] GC(78) Pause Young (Allocation Failure) 1531M->1139M(1979M) 63,261ms
[20,237s][info][gc] GC(79) Pause Young (Allocation Failure) 1614M->1220M(1979M) 65,102ms
[20,479s][info][gc] GC(80) Pause Young (Allocation Failure) 1698M->1301M(1979M) 75,969ms
[21,301s][info][gc] GC(82) Pause Full (Allocation Failure) 1782M->697M(1979M) 635,660ms
[21,301s][info][gc] GC(81) Pause Young (Allocation Failure) 1782M->697M(1979M) 635,720ms
[21,507s][info][gc] GC(83) Pause Young (Allocation Failure) 1181M->780M(1979M) 40,619ms
[21,732s][info][gc] GC(84) Pause Young (Allocation Failure) 1266M->862M(1979M) 40,609ms
[21,943s][info][gc] GC(85) Pause Young (Allocation Failure) 1351M->945M(1979M) 45,511ms
[22,178s][info][gc] GC(86) Pause Young (Allocation Failure) 1437M->1029M(1979M) 48,695ms
[22,406s][info][gc] GC(87) Pause Young (Allocation Failure) 1523M->1113M(1979M) 57,077ms
[22,647s][info][gc] GC(88) Pause Young (Allocation Failure) 1610M->1197M(1979M) 58,692ms
[22,883s][info][gc] GC(89) Pause Young (Allocation Failure) 1697M->1282M(1979M) 63,507ms
[23,722s][info][gc] GC(91) Pause Full (Allocation Failure) 1785M->726M(1979M) 666,894ms
[23,722s][info][gc] GC(90) Pause Young (Allocation Failure) 1785M->726M(1979M) 666,987ms
[23,949s][info][gc] GC(92) Pause Young (Allocation Failure) 1232M->812M(1979M) 41,916ms
[24,172s][info][gc] GC(93) Pause Young (Allocation Failure) 1321M->899M(1979M) 43,240ms
[24,395s][info][gc] GC(94) Pause Young (Allocation Failure) 1410M->985M(1979M) 48,028ms
[24,632s][info][gc] GC(95) Pause Young (Allocation Failure) 1499M->1073M(1979M) 51,064ms
[24,885s][info][gc] GC(96) Pause Young (Allocation Failure) 1589M->1160M(1979M) 63,978ms
[25,141s][info][gc] GC(97) Pause Young (Allocation Failure) 1680M->1248M(1979M) 58,615ms
[25,406s][info][gc] GC(98) Pause Young (Allocation Failure) 1770M->1337M(1979M) 80,817ms
[26,478s][info][gc] GC(100) Pause Full (Allocation Failure) 1862M->687M(1979M) 880,262ms
[26,478s][info][gc] GC(99) Pause Young (Allocation Failure) 1862M->687M(1979M) 880,349ms
[26,721s][info][gc] GC(101) Pause Young (Allocation Failure) 1215M->777M(1979M) 42,069ms
[26,947s][info][gc] GC(102) Pause Young (Allocation Failure) 1307M->867M(1979M) 46,224ms
[27,183s][info][gc] GC(103) Pause Young (Allocation Failure) 1400M->957M(1979M) 48,151ms
